Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
12,Boston Reds,1890,1891,272,174,90,0.659,84,0,2,0,0,35,5,"2,059","9,643","2,693",110,0.279,"1,456",3.37
13,Boston Reds,1884,1884,111,58,51,0.532,7,0,0,0,0,25,1,636,"3,940",928,19,0.236,558,2.7
14,Brooklyn Gladiators,1890,1890,100,26,73,0.263,-47,0,0,0,0,22,0,492,"3,475",769,13,0.221,733,4.71
15,Brooklyn Royal Giants,1923,1928,178,67,108,0.383,-41,0,0,0,0,35,1,778,"5,550","1,488",86,0.268,882,4.57
16,Brooklyn Tip-Tops,1914,1915,310,147,159,0.48,-12,0,0,0,0,53,1,"1,309","10,256","2,750",78,0.268,"1,350",3.35
17,Brooklyn Ward's Wonders,1890,1890,133,76,56,0.576,20,0,0,0,0,17,1,964,"4,887","1,352",34,0.277,893,3.95
18,Buffalo Bisons,1914,1915,308,154,149,0.508,5,0,0,0,0,43,0,"1,194","10,129","2,525",77,0.249,"1,236",3.27
,       Also played as Buffalo Blues and Buffalo Buffeds,,,,,,,,,,,,,,,,,,,,
19,Buffalo Bisons,1890,1890,134,36,96,0.273,-60,0,0,0,0,26,2,793,"4,795","1,249",20,0.26,"1,199",6.11
20,Buffalo Bisons,1879,1885,656,314,333,0.485,-19,0,0,0,0,68,5,"3,474","23,841","6,194",105,0.26,"3,738",3.19
21,Chicago American Giants,1920,1948,"2,041","1,066",944,0.53,122,6,6,2,10,346,8,"6,783","46,147","12,074",337,0.262,"6,450",3.67
,       Also played as Chicago Columbia Giants,,,,,,,,,,,,,,,,,,,,
22,Chicago Giants,1920,1921,83,15,66,0.185,-51,0,0,0,0,37,0,377,"3,135",780,13,0.249,559,4.83
23,Chicago Pirates,1890,1890,138,75,62,0.547,13,0,0,0,0,16,2,886,"4,968","1,311",31,0.264,770,3.39
,       Also played as Chicago White Stockings,,,,,,,,,,,,,,,,,,,,
24,Chicago Whales,1914,1915,312,173,133,0.565,40,0,1,0,0,40,2,"1,261","10,231","2,634",102,0.257,"1,055",2.54
,       Also played as Chicago Chi-Feds,,,,,,,,,,,,,,,,,,,,
25,Chicago/Pittsburgh (Union League),1884,1884,93,41,50,0.451,-9,0,0,0,0,35,0,438,"3,212",742,10,0.231,482,2.72
,       Also played as Chicago/Pittsburgh,,,,,,,,,,,,,,,,,,,,
26,Cincinnati Kelly's Killers,1891,1891,102,43,57,0.43,-14,0,0,0,0,23,1,549,"3,574",838,28,0.234,643,3.43
27,Cincinnati Outlaw Reds,1884,1884,105,69,36,0.657,33,0,0,0,0,23,0,703,"3,786","1,027",26,0.271,466,2.38
28,Cincinnati Reds,1876,1879,265,104,158,0.397,-54,0,0,0,0,43,3,"1,347","9,873","2,542",23,0.257,"1,809",2.93
29,Cincinnati Stars,1880,1880,83,21,59,0.263,-38,0,0,0,0,16,1,296,"2,895",649,7,0.224,472,2.44
30,Cincinnati Tigers,1937,1937,55,35,19,0.648,16,0,0,0,0,25,0,208,"1,350",377,8,0.279,164,3.02
31,Cleveland Blues,1879,1884,549,242,299,0.447,-57,0,0,0,0,67,1,"2,437","19,506","4,690",62,0.24,"2,782",2.63
32,Cleveland Browns,1924,1924,47,15,32,0.319,-17,0,0,0,0,32,0,153,"1,078",283,14,0.263,242,6.11
33,Cleveland Buckeyes,1942,1948,547,332,207,0.616,125,2,2,1,2,105,0,843,"5,833","1,535",35,0.263,878,4.19
,       Also played as Cincinnati-Cleveland Buckeyes,,,,,,,,,,,,,,,,,,,,
34,Cleveland Cubs,1931,1931,45,23,22,0.511,1,0,0,0,0,28,1,157,"1,061",261,10,0.246,167,4.12
35,Cleveland Elites,1926,1926,49,8,40,0.167,-32,0,0,0,0,39,0,182,"1,499",398,15,0.266,381,7.18
36,Cleveland Giants,1933,1933,1,,1,0,-1,0,0,0,0,10,0,7,29,9,,0.31,14,21
37,Cleveland Hornets,1927,1927,49,13,36,0.265,-23,0,0,0,0,25,0,173,"1,318",361,10,0.274,311,5.99
38,Cleveland Infants,1890,1890,131,55,75,0.423,-20,0,0,0,0,21,1,849,"4,804","1,370",27,0.285,"1,027",4.23
39,Cleveland Red Sox,1934,1934,25,3,22,0.12,-19,0,0,0,0,24,0,71,706,166,2,0.235,157,6.89
40,Cleveland Spiders,1887,1899,"1,802",827,938,0.469,-111,0,0,0,0,164,6,"10,057","63,232","17,006",292,0.269,"10,729",4.02
,       Also played as Cleveland Blues,,,,,,,,,,,,,,,,,,,,
41,Cleveland Stars,1932,1932,17,5,11,0.313,-6,0,0,0,0,18,0,59,526,145,1,0.276,100,5.12
42,Cleveland Tate Stars,1922,1923,42,15,26,0.366,-11,0,0,0,0,27,0,274,"1,949",510,12,0.262,350,5.06
43,Cleveland Tigers,1928,1928,79,20,59,0.253,-39,0,0,0,0,41,0,278,"2,096",606,17,0.289,418,5.66
44,Columbus Blue Birds,1933,1933,42,15,27,0.357,-12,0,0,0,0,21,0,129,936,254,16,0.271,169,5.11
45,Columbus Buckeyes,1921,1921,69,30,38,0.441,-8,0,0,0,0,28,1,425,"3,096",814,18,0.263,465,4.07
46,Columbus Buckeyes,1883,1884,207,101,104,0.493,-3,0,0,0,0,23,0,"1,061","7,312","1,755",55,0.24,"1,118",3.28
47,Columbus Solons,1889,1891,418,200,209,0.489,-9,0,0,0,0,45,0,"2,312","14,254","3,585",72,0.252,"2,318",3.7
48,Columbus Turfs,1932,1932,10,3,5,0.375,-2,0,0,0,0,0,0,,,,,,,
,       Also played as Columbus Turf Club,,,,,,,,,,,,,,,,,,,,
49,Cuban Stars East I,1923,1929,326,136,180,0.43,-44,0,0,0,0,50,1,"1,593","10,671","2,843",110,0.266,"1,800",4.99
,       Also played as Cuban Stars East,,,,,,,,,,,,,,,,,,,,
50,Cuban Stars West,1920,1930,673,241,429,0.36,-188,0,0,0,0,79,0,"2,811","20,747","5,316",179,0.256,"3,430",4.72
,       Also played as Cincinnati Cuban Stars,,,,,,,,,,,,,,,,,,,,
